iter	Passed	Remaining
0	174	3320
1	206	1862
2	241	1367
3	273	1095
4	305	916
5	335	783
6	366	679
7	395	592
8	421	515
9	452	452
10	484	396
11	514	342
12	542	292
13	571	244
14	599	199
15	628	157
16	657	116
17	689	76
18	719	37
19	750	0
